"Pin Number","Pin ID","Custom Name","Function","Mode", "Direction","Latch","Pull Up","Pull Down","Drive Strength"
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,OLED_CS,GPIO,Digital,Out,Low,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
5,PB04,OLED_DC_SEL,GPIO,Digital,Out,Low,,,NORMAL
6,PB05,OLED_LED3,GPIO,Digital,Out,Low,,,NORMAL
9,PB06,OLED_BTN3,GPIO,Digital,In,n/a,Yes,No,NORMAL
10,PB07,OLED_BTN2,GPIO,Digital,In,n/a,Yes,No,NORMAL
11,PB08,,Available,,,,,,NORMAL
12,PB09,,Available,,,,,,NORMAL
13,PA04,,Available,,,,,,NORMAL
14,PA05,,Available,,,,,,NORMAL
15,PA06,,Available,,,,,,NORMAL
16,PA07,,Available,,,,,,NORMAL
17,PA08,,Available,,,,,,NORMAL
18,PA09,,Available,,,,,,NORMAL
19,PA10,,Available,,,,,,NORMAL
20,PA11,,Available,,,,,,NORMAL
23,PB10,UART_TXD,SERCOM4_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
24,PB11,UART_RXD,SERCOM4_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
25,PB12,,Available,,,,,,NORMAL
26,PB13,,Available,,,,,,NORMAL
27,PB14,ATA5831_IRQ,GPIO,Digital,In,n/a,No,Yes,NORMAL
28,PB15,,Available,,,,,,NORMAL
29,PA12,,Available,,,,,,NORMAL
30,PA13,,Available,,,,,,NORMAL
31,PA14,OLED_LED1,GPIO,Digital,Out,Low,,,NORMAL
32,PA15,OLED_LED2,GPIO,Digital,Out,Low,,,NORMAL
35,PA16,SPI_SDI,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
36,PA17,SPI_CS,GPIO,Digital,Out,Low,,,NORMAL
37,PA18,SPI_SDO,SERCOM1_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
38,PA19,SPI_SCK,SERCOM1_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
39,PB16,,Available,,,,,,NORMAL
40,PB17,,Available,,,,,,NORMAL
41,PA20,ATA5831_NPWRON1,GPIO,Digital,Out,High,,,NORMAL
42,PA21,ATA5831_NRES,GPIO,Digital,Out,High,,,NORMAL
43,PA22,,Available,,,,,,NORMAL
44,PA23,,Available,,,,,,NORMAL
45,PA24,,Available,,,,,,NORMAL
46,PA25,,Available,,,,,,NORMAL
49,PB22,,Available,,,,,,NORMAL
50,PB23,,Available,,,,,,NORMAL
51,PA27,OLED_RESET,GPIO,Digital,Out,High,,,NORMAL
53,PA28,OLED_BTN1,GPIO,Digital,In,n/a,Yes,No,NORMAL
57,PA30,,Available,,,,,,NORMAL
58,PA31,,Available,,,,,,NORMAL
59,PB30,,Available,,,,,,NORMAL
60,PB31,,Available,,,,,,NORMAL
61,PB00,OLED_MOSI,SERCOM5_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
62,PB01,OLED_SCK,SERCOM5_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
63,PB02,OLED_MISO,SERCOM5_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
64,PB03,,Available,,,,,,NORMAL
